FirstName LastName HW1 HW2 HW3 HW4 HW5 Exam
Name328 Surname328 9 4 4 9 4 6
Name329 Surname329 1 10 7 8 3 4
Name330 Surname330 1 3 7 2 8 10
Name331 Surname331 6 7 2 8 6 2
Name332 Surname332 6 2 2 5 3 8
Name333 Surname333 9 4 3 1 4 3
Name334 Surname334 9 10 5 4 7 8
Name335 Surname335 1 8 9 3 3 10
Name336 Surname336 5 2 4 7 1 7
Name337 Surname337 3 2 2 6 6 4
Name338 Surname338 3 8 6 4 9 2
Name339 Surname339 4 2 3 9 9 8
Name340 Surname340 2 3 1 3 9 9
Name341 Surname341 9 3 5 1 2 10
Name342 Surname342 10 1 8 9 7 5
Name343 Surname343 8 8 8 5 7 5
Name344 Surname344 1 3 3 10 3 4
Name345 Surname345 6 8 6 6 10 2
Name346 Surname346 8 5 3 6 5 3
Name347 Surname347 5 3 9 6 2 8
Name348 Surname348 1 7 10 10 3 10
Name349 Surname349 6 4 2 9 4 4
Name350 Surname350 8 5 4 9 10 4
Name351 Surname351 2 7 7 8 9 6
Name352 Surname352 6 6 4 2 8 3
Name353 Surname353 9 8 8 1 9 10
Name354 Surname354 2 1 6 2 8 4
Name355 Surname355 10 9 4 2 4 2
Name356 Surname356 7 7 3 3 9 9
Name357 Surname357 4 2 7 3 9 1
Name358 Surname358 3 9 6 7 7 9
Name359 Surname359 10 4 10 5 2 5
Name360 Surname360 4 3 2 3 4 2
Name361 Surname361 6 2 10 6 2 3
Name362 Surname362 6 6 1 3 4 7
Name363 Surname363 8 6 7 9 5 9
Name364 Surname364 8 5 1 9 5 9
Name365 Surname365 7 1 6 6 3 7
Name366 Surname366 8 5 7 7 3 7
Name367 Surname367 3 4 7 1 6 2
Name368 Surname368 5 1 8 1 8 5
Name369 Surname369 2 2 8 2 5 5
Name370 Surname370 3 9 2 5 8 3
Name371 Surname371 4 2 7 6 3 2
Name372 Surname372 7 6 1 6 9 1
Name373 Surname373 3 9 5 3 6 10
Name374 Surname374 3 5 8 7 6 3
Name375 Surname375 7 5 2 5 3 2
Name376 Surname376 3 4 10 6 10 4
Name377 Surname377 1 7 4 1 2 6
Name378 Surname378 10 1 3 2 2 7
Name379 Surname379 10 1 6 3 8 3
Name380 Surname380 8 10 10 10 2 4
Name381 Surname381 6 8 2 1 10 10
Name382 Surname382 7 8 7 4 6 6
Name383 Surname383 8 2 10 3 6 1
Name384 Surname384 5 9 2 9 9 7
Name385 Surname385 6 7 10 8 6 7
Name386 Surname386 6 4 3 6 8 7
Name387 Surname387 2 1 5 4 10 3
Name388 Surname388 7 6 8 9 7 6
Name389 Surname389 9 9 1 9 10 4
Name390 Surname390 9 8 8 5 5 4
Name391 Surname391 1 7 3 10 9 5
Name392 Surname392 10 4 4 4 6 1
Name393 Surname393 9 4 1 3 2 4
Name394 Surname394 5 5 9 9 1 4
Name395 Surname395 5 2 1 6 1 5
Name396 Surname396 7 3 2 2 1 8
Name397 Surname397 6 6 7 5 4 7
Name398 Surname398 1 1 10 9 4 2
Name399 Surname399 5 1 7 8 1 6
Name400 Surname400 4 4 7 4 9 6
Name401 Surname401 1 4 2 2 9 8
Name402 Surname402 9 4 10 7 10 9
Name403 Surname403 10 6 3 5 2 8
Name404 Surname404 7 9 3 6 10 5
Name405 Surname405 7 5 3 9 2 4
Name406 Surname406 1 3 8 9 10 2
Name407 Surname407 9 4 4 7 7 6
Name408 Surname408 8 1 1 1 6 3
Name409 Surname409 9 4 10 9 7 6
Name410 Surname410 9 10 9 8 5 10
Name411 Surname411 10 3 4 2 7 3
Name412 Surname412 3 6 5 1 10 3
Name413 Surname413 3 5 2 5 7 3
Name414 Surname414 5 4 3 8 10 1
Name415 Surname415 5 9 7 1 5 3
Name416 Surname416 3 3 8 2 3 9
Name417 Surname417 5 3 4 10 1 5
Name418 Surname418 10 5 7 9 7 5
Name419 Surname419 3 7 10 6 6 4
Name420 Surname420 4 8 3 5 5 2
Name421 Surname421 1 6 10 8 2 9
Name422 Surname422 3 5 10 5 6 2
Name423 Surname423 5 3 2 7 6 9
Name424 Surname424 9 3 4 6 5 6
Name425 Surname425 7 9 3 10 10 2
Name426 Surname426 9 6 1 2 3 3
Name427 Surname427 9 1 9 4 10 7
Name428 Surname428 4 1 8 7 2 8
Name429 Surname429 9 3 6 4 8 1
Name430 Surname430 6 5 4 1 5 2
Name431 Surname431 8 1 3 7 1 3
Name432 Surname432 7 10 8 10 6 5
Name433 Surname433 7 3 10 9 7 3
Name434 Surname434 3 3 6 6 5 9
Name435 Surname435 6 1 4 4 5 8
Name436 Surname436 6 10 6 9 8 3
Name437 Surname437 2 9 4 1 6 7
Name438 Surname438 1 2 1 2 8 8
Name439 Surname439 6 3 6 4 10 2
Name440 Surname440 7 3 7 8 5 1
Name441 Surname441 9 8 10 3 4 9
Name442 Surname442 3 5 7 8 3 5
Name443 Surname443 10 8 6 3 9 10
Name444 Surname444 4 5 9 6 4 9
Name445 Surname445 8 6 4 2 1 5
Name446 Surname446 8 10 9 5 6 5
Name447 Surname447 7 8 1 6 3 9
Name448 Surname448 9 2 2 6 3 2
Name449 Surname449 6 8 9 7 1 1
Name450 Surname450 7 7 7 7 6 1
Name451 Surname451 8 6 4 6 9 1
Name452 Surname452 9 4 4 5 9 1
Name453 Surname453 2 1 1 3 2 8
Name454 Surname454 8 8 8 3 9 4
Name455 Surname455 1 6 1 1 1 1
Name456 Surname456 6 8 1 9 6 9
Name457 Surname457 9 7 1 6 6 1
Name458 Surname458 1 5 2 2 5 4
Name459 Surname459 4 5 8 2 10 8
Name460 Surname460 5 7 2 5 10 7
Name461 Surname461 8 5 6 9 6 9
Name462 Surname462 10 3 10 4 6 6
Name463 Surname463 7 5 8 8 3 1
Name464 Surname464 6 8 6 2 7 2
Name465 Surname465 5 5 1 4 4 9
Name466 Surname466 8 10 2 7 6 7
Name467 Surname467 9 9 2 10 4 2
Name468 Surname468 4 4 7 10 1 7
Name469 Surname469 5 2 4 7 1 10
Name470 Surname470 10 3 1 5 8 9
Name471 Surname471 6 4 5 9 4 6
Name472 Surname472 7 10 4 6 3 4
Name473 Surname473 8 4 5 7 8 6
Name474 Surname474 8 6 8 2 4 6
Name475 Surname475 6 7 8 7 3 6
Name476 Surname476 5 6 5 10 3 3
Name477 Surname477 2 2 2 2 1 1
Name478 Surname478 9 4 3 9 6 1
Name479 Surname479 1 4 2 5 8 8
Name480 Surname480 2 7 1 1 7 10
Name481 Surname481 6 5 1 4 6 5
Name482 Surname482 4 9 1 10 6 9
Name483 Surname483 7 9 1 7 7 10
Name484 Surname484 3 9 2 2 1 10
Name485 Surname485 4 2 1 4 5 3
Name486 Surname486 1 9 4 1 4 7
Name487 Surname487 5 10 7 9 9 1
Name488 Surname488 9 6 9 8 6 4
Name489 Surname489 6 6 2 9 7 1
Name490 Surname490 2 2 4 3 9 10
Name491 Surname491 7 2 10 10 9 4
Name492 Surname492 4 6 5 4 9 1
Name493 Surname493 1 9 6 2 1 5
Name494 Surname494 8 10 7 8 1 2
Name495 Surname495 4 4 4 2 2 4
Name496 Surname496 8 7 8 3 3 6
Name497 Surname497 8 9 10 7 4 8
Name498 Surname498 7 6 1 4 1 9
Name499 Surname499 6 4 1 6 5 5
Name500 Surname500 8 8 8 5 5 1
Name501 Surname501 9 1 7 6 5 8
Name502 Surname502 5 2 5 1 4 8
Name503 Surname503 4 5 8 7 8 9
Name504 Surname504 7 4 3 3 7 4
Name505 Surname505 4 8 10 1 1 1
Name506 Surname506 8 8 7 1 8 4
Name507 Surname507 7 4 9 10 6 10
Name508 Surname508 4 3 7 5 1 10
Name509 Surname509 1 3 10 2 3 1
Name510 Surname510 1 1 6 5 7 10
Name511 Surname511 8 9 7 3 4 9
Name512 Surname512 1 3 5 1 3 7
Name513 Surname513 1 4 1 4 5 8
Name514 Surname514 8 1 3 2 6 2
Name515 Surname515 3 2 3 1 2 2
Name516 Surname516 2 4 8 7 5 7
Name517 Surname517 5 10 10 5 4 3
Name518 Surname518 2 6 5 10 7 9
Name519 Surname519 6 4 6 8 9 8
Name520 Surname520 7 5 4 1 3 9
Name521 Surname521 7 5 2 4 4 5
Name522 Surname522 3 5 7 3 2 8
Name523 Surname523 10 10 8 6 2 4
Name524 Surname524 4 4 3 5 4 7
Name525 Surname525 3 10 8 8 9 10
Name526 Surname526 5 5 7 8 3 7
Name527 Surname527 1 5 2 2 1 1
Name528 Surname528 9 2 5 5 5 3
Name529 Surname529 5 3 9 8 10 10
Name530 Surname530 10 2 7 9 3 4
Name531 Surname531 2 5 7 4 3 7
Name532 Surname532 4 10 1 9 8 8
Name533 Surname533 1 10 5 4 10 9
Name534 Surname534 10 9 2 5 4 2
Name535 Surname535 4 6 5 1 10 1
Name536 Surname536 2 2 1 10 7 10
Name537 Surname537 9 6 7 4 4 6
Name538 Surname538 4 8 5 9 8 10
Name539 Surname539 9 4 10 8 4 3
Name540 Surname540 3 10 5 6 9 4
Name541 Surname541 8 5 5 6 2 7
Name542 Surname542 10 6 10 1 4 2
Name543 Surname543 2 10 5 1 7 4
Name544 Surname544 9 7 1 3 1 8
Name545 Surname545 10 10 9 10 8 2
Name546 Surname546 2 4 8 6 1 9
Name547 Surname547 10 1 4 1 6 10
Name548 Surname548 2 7 10 7 6 7
Name549 Surname549 10 6 2 9 10 10
Name550 Surname550 8 2 10 9 3 6
Name551 Surname551 5 8 10 4 3 2
Name552 Surname552 5 10 1 1 10 4
Name553 Surname553 5 6 6 8 4 8
Name554 Surname554 7 10 7 8 8 4
Name555 Surname555 9 6 8 9 3 9
Name556 Surname556 6 1 9 6 1 9
Name557 Surname557 3 5 1 1 6 1
Name558 Surname558 7 1 3 4 4 4
Name559 Surname559 9 1 6 2 3 7
Name560 Surname560 2 5 9 2 6 9
Name561 Surname561 7 10 7 8 7 7
Name562 Surname562 3 5 9 1 9 9
Name563 Surname563 4 2 7 8 7 5
Name564 Surname564 1 4 9 5 2 7
Name565 Surname565 10 5 4 2 7 3
Name566 Surname566 1 1 5 5 9 6
Name567 Surname567 3 3 2 7 3 1
Name568 Surname568 1 8 2 9 9 10
Name569 Surname569 5 9 6 3 8 3
Name570 Surname570 8 2 5 5 4 1
Name571 Surname571 1 3 2 3 4 5
Name572 Surname572 10 9 2 4 10 1
Name573 Surname573 8 1 1 5 2 6
Name574 Surname574 6 3 6 4 7 3
Name575 Surname575 3 10 2 5 8 3
Name576 Surname576 2 2 7 9 7 6
Name577 Surname577 8 2 1 5 8 3
Name578 Surname578 1 3 8 4 7 1
Name579 Surname579 9 3 8 4 2 10
Name580 Surname580 9 3 6 6 10 7
Name581 Surname581 4 9 9 10 3 9
Name582 Surname582 7 10 6 8 1 10
Name583 Surname583 6 2 4 1 4 9
Name584 Surname584 6 10 10 2 3 1
Name585 Surname585 7 8 6 7 9 10
Name586 Surname586 9 3 5 6 7 4
Name587 Surname587 5 3 10 5 1 9
Name588 Surname588 2 7 5 7 5 5
Name589 Surname589 2 2 7 2 10 6
Name590 Surname590 9 3 4 10 9 4
Name591 Surname591 5 9 7 8 9 3
Name592 Surname592 5 2 10 6 7 4
Name593 Surname593 3 10 1 1 8 7
Name594 Surname594 9 9 2 5 9 9
Name595 Surname595 3 5 6 1 1 7
Name596 Surname596 5 5 7 1 1 5
Name597 Surname597 5 6 4 4 4 1
Name598 Surname598 5 4 10 8 10 8
Name599 Surname599 7 6 5 1 8 9
Name600 Surname600 9 6 9 2 7 10
Name601 Surname601 5 9 10 9 7 2
Name602 Surname602 5 10 4 8 5 6
Name603 Surname603 2 1 9 3 8 6
Name604 Surname604 5 1 7 1 8 4
Name605 Surname605 7 8 6 4 9 9
Name606 Surname606 6 8 6 9 7 1
Name607 Surname607 8 2 10 9 1 3
Name608 Surname608 7 8 8 2 5 5
Name609 Surname609 7 6 7 8 2 10
Name610 Surname610 10 5 8 9 4 8
Name611 Surname611 7 10 4 2 9 7
Name612 Surname612 3 9 7 9 5 8
Name613 Surname613 8 5 9 6 6 1
Name614 Surname614 9 1 3 1 3 7
Name615 Surname615 6 9 5 7 3 9
Name616 Surname616 5 8 3 9 7 1
Name617 Surname617 5 5 10 10 10 10
Name618 Surname618 9 8 7 10 9 6
Name619 Surname619 10 10 8 7 4 1
Name620 Surname620 6 10 10 1 3 2
Name621 Surname621 1 1 3 3 2 8
Name622 Surname622 3 3 3 3 1 3
Name623 Surname623 3 10 4 1 7 4
Name624 Surname624 7 3 2 9 1 9
Name625 Surname625 10 9 4 3 5 10
Name626 Surname626 10 8 6 3 9 2
Name627 Surname627 9 10 10 10 6 5
Name628 Surname628 6 2 2 10 8 7
Name629 Surname629 2 9 7 5 9 5
Name630 Surname630 3 3 2 8 7 2
Name631 Surname631 6 1 10 8 5 10
Name632 Surname632 8 5 6 8 8 9
Name633 Surname633 7 2 5 3 3 7
Name634 Surname634 2 6 2 7 4 1
Name635 Surname635 2 4 5 5 3 6
Name636 Surname636 4 10 7 7 3 1
Name637 Surname637 1 10 1 6 5 8
Name638 Surname638 6 6 10 8 5 8
Name639 Surname639 3 3 7 4 4 6
Name640 Surname640 8 9 7 3 8 9
Name641 Surname641 9 2 10 3 1 1
Name642 Surname642 7 6 5 1 2 3
Name643 Surname643 3 5 2 5 6 8
Name644 Surname644 9 8 6 8 1 1
Name645 Surname645 3 5 2 3 10 8
Name646 Surname646 3 9 3 5 7 7
Name647 Surname647 6 1 4 4 1 8
Name648 Surname648 3 9 7 4 10 5
Name649 Surname649 6 6 7 6 8 6
Name650 Surname650 10 9 3 10 3 6
Name651 Surname651 1 8 4 9 3 9
Name652 Surname652 10 7 2 7 3 10
Name653 Surname653 4 10 7 7 9 7
Name654 Surname654 1 1 4 5 3 3
Name655 Surname655 2 4 8 9 2 6
Name656 Surname656 6 10 6 2 2 7
Name657 Surname657 10 5 10 3 10 6
Name658 Surname658 3 10 3 1 9 10
Name659 Surname659 4 1 4 3 10 2
Name660 Surname660 3 3 7 5 8 1
Name661 Surname661 5 3 6 9 6 3
Name662 Surname662 2 9 7 7 2 2
Name663 Surname663 1 3 8 10 8 8
